text,labels
 Wasn t the organizer of the rally that killed someone it was someone that showed up just like the people that show up to antifa and black lives matter rallies cause violence and rioting everywhere they go,0
 You 100% believe AB would be the player he is today without Big Ben?,0
 I would Starfleet Antifa was here to witness  RIP,0
 Deserved better,0
 you are very creative :),0
 OMG!!! She is perfect!!!!!,0
 Lmao good one ! Now listen up Sparky your wife is a disease she is a bought and paid for evil soulless propaganda arm for child murderers and Russian agents  So stick with your cutsie tweets but I d prepare for a long prison sentence if i were you ,1
*goes to song suffragettes* Waitress: theres a $15 minimum food and drinks charge Me to waitress : who do you think you are?,0
 Bullshit! My daughters and I watched the tennis match and sarrena got what she deserved  We are big Williams fans  No one is above the game ,1
 BE GONE THOT (no offence intended she is probably a very nice lady),0
 He is telling you he knows where his bum is  Writes ass with his bottom  What more proof of higher intelligence do you need?,1
 Like ANTIFA ,0
#british politics on #brexit (and in general) start to look like one gigantic benny hill episode #may #BorisJohnson #brexiteers #corbyn #chequers #conservatives all my sympathies to #fbpe #PeoplesVote,0
 She does not remember? Of course she doesnt! She is making it up as she goes and with the help of her therapist and all the others that believes her BS story  Maybe if she gets hypnotized she will miraculously remember more details #Freakingliars liberals obstructionist,0
 trump may not be the one who started this mess but he can stop it  If he doesn t he is part of the problem ,1
 Brilliant journalistic commentary here,0
  Think she is one of the Demoncrats  Hard to imagine that a sane (or living) person would vote for her ,0
 Hate mongering is No solution for NFL KNEELERS - change up your playbook losers,1
 Been a Willie fan since before most of you were born    LOVE that he is holding a rally with Beto     Exactly WHICH fans are furious? Could you give some specifics? URL,0
 You are NO CHRISTIAN,0
 what the fuck do you gain from posting on your private instead of your public,0
Kavanaugh Accuser Christine Blasey Ford May Testify Before Senate Judiciary Committee  URL #TCOT #MAGA #RedNationRising ,0
Bias Blockers: The New Glasses Made for #MAGA Racists and Homophobes WATCH URL URL,1
IN HONOR OF #ConstitutionDay I PURCHASED A #TRUMP t-SHIRT AND A #MAGA HAT #TRUMPTRAIN #LIBERTY #FREEDOM #AMERICA #USA #LIBERTY URL,0
 That or she is an awfully good transvestite,1
 Omg!!! A good guy is now evil!!!! Same thing happening is America!!! The Globalist world leaders with all their money would have us believe what is evil is good and what is good is evil!! Ive read that in the good book!! For the end time!!!!,1
*waits for a buncha braindead rednecks to burn the Levi s that they re wearing and get hauled off to the ER en masse* URL,1
 Hope they bankrupt soon,1
 vs Antifa  I know who my moneys on  But seriously this is such a stupid thing to do  URL,1
 This is not conservative  What has happened to our party ? Lost the plot  ,0
 This is why we follow each other -such peace in my Twitter Avenue is amazing URL,0
 : When we lead  sheeple follow  URL,0
 Lol #liberalfool just MAGA,0
Americans are smarter than you think  #MAGA #VoteRed2018 #RedWaveRising2018 #SaveOurCountry #VoteDemsOut URL,0
 Breitbart must be hacked! Your headline says it all ,1
 Awww kaise bache ki tarah she is holding his finger,0
 He s NO POPE!!,0
 Well you are picking the wrong ones,0
 I dont know why they can see she is lying they should leave him alone   They need to write an article now when they wanted to write 1 10 months ago   Just so you know you make no money with Melissa  ,0
 This has already been rejected as you well know  This is another time wasting exercise ,0
 2018-09-14 23:57 Congratulations! You are on no blocklists that we can find by scraping publicly available blocktogether lists Please check my follows for people incorrectly blocked - URL,0
#guns #2A A Second Amendment Zone  is Ridiculous  So Are Concealed Carry Laws Daily Utah Chronicle: The latest installment of the nations endless debate on gun control recently surfaced on the University of Utah campus  A g URL URL,0
 You are phinnaly there!,0
 Bring out his Antifa criminal son to campaign for him,0
 Lets not forget the treatment of Sarah Palin by these same California liberals  And now they say Kavanaugh s accuser is being bullied?,0
 I don t think you have a clue what leadership and liberals have the temperament of 2 year old children being told no    you have the intellectual brilliance of a goat   please stop tweeting  TDS is making look quite the fool  ,0
 Stop talkin about urself,0
 The holy spirit is given when you are saved,0
 You are so correct the Democratic party for slavery and pro-nazi gun control,1
 Wait you don t know who she is? Oh boy,0
Democrat can t even compete w #MAGA URL,1
 Lol  My 6 year old is home today ad well and was in tears as she is receiving her star of the week Award and will miss out ,0
 Djt &amp; Gop- MAGA  Only for old scared white men again  Making women property again ,1
 She is just spewing sh*t Bernie s robot what a lie they will say &amp; do anything and what she is going to do for district 14 not a da*n thing Socialism don t work that way they suck all up ,1
 Maybe he is a Baker by day     and sleep at night cuz have to wake up early to open the bakery     ,0
 Ya Obama on trade 2-YEARS AGO: Trump is just NOT TELLING THE TRUTH   How STUPID could our leaders be  Trump God bless Trump! #MAGA #KAG    (Full Link+Trump s ANSWER URL,1
 He won t live long now,0
 You are probably the best politician Ive heard in a long while   wish you were in Illinois!,0
 Amazing how Dems dont feel they owe it to unborn generations to keep ILLEGALS out!!,1
 I think you made those liberals upset,0
 According the gore hurricane hazel in 1955 was Trumps fault and all the typhoons cyclones and hurricanes are all Trumps fault And Trump colluded with God to defeat Hillary  All true!,1
Aint missing shit ,1
 Do you support our POTUS? (Please help by retweeting and following after voting!) Follow Follow Follow #maga #kag #trump,0
 Sensible gun control can only help  Mentally unstable people should not have guns  People with restraining orders should not have guns  No one needs a gun with a magazine more than 5-6 rounds (unless the zombie apocalypse happens) ,1
 The war on the right = Antifa,0
 1 of 2) Support Chief s comments  I d recommend reading excellent true crime book  In Plain Sight:The Kaufman County Prosecutor Murders  - by Kathryn Casey  Victims were all armed (DA  very heavily) and prepared to  protect themselves   Not about gun control  but    ,0
 primary argument against #Kavanaugh is that he is too Constitutional  The democrats started a civil war during Clinton They heightened their propaganda during Obama They are scared animals backed into a corner Antifa  BLM &amp; MS13 are their Sturmabteilung ,1
5 of 5 stars to You Are a Badass by Jen Sincero URL,0
 Good Morning! I just followed you back! Let s give these crazy Liberals Hell!,1
 You rock brother  I am proud of my Antifa badge of honor I earned last year!,0
 BS  People died in PR because the local government is corrupt ,1
 you are a sorry excuse of a rep - I hope that your district votes accordingly-you need to go! Your nose is so brown it will never be clean! URL,1
 She is the bomb!!,0
 But he is still fucked up for not respecting LGBTQ,1
 Even her brother thinks she is a monster: URL,1
 Cause they re assholes,1
 I love Danielle because she is such a caring and genuine person! Her smile and positive energy brings out the best in everyone  You can always count on her to bring some sunshine into any rainy day ,0
 Of course  Thanks for making my point  ANTIFA has no clue what fascism is ,0
 We ve had a good conversation  Many will condemnations me for my part from both sides  It does not matter  This is what gun control is about  Discussion ,0
 And dying a slow death such a shame,1
 he is on the island dummy,0
 Manafort has been on K street for a long time  He knows things  Deep dark things  I agree  He is gonna burn some folk  Mueller already knows who he wants  Manafort is gonna give them up ,1
#conservatives everywhere in my small red town  kids need to be spanked and put #God first  They need to know consequences!   Also them   #BrettKavanuagh shouldn t be held responsible for something he did at 17!! #Hypocrites how do sleep at night? ,1
 Choosing heartless politician over your ancestors country  Speaks volumes as to who you are ,1
 I hear he is having an MEI on his knee due to the pressure exerted  Lol,0
 Another overdose nigga:(,1
 The liberals are really displaying hate &amp; their message of division  Republicans really need to take advantage of this by welcoming the disgusted democrats that had enough with their party &amp; want a solid policy &amp; no more insults ,1
#SesameStreets #Bert and #Ernie came out of the #closet today  Spox says theyre a loving #couple  #Conservatives incensed  Rush out to buy Bert and Ernie dolls to burn along with their newly purchased #Nike fashions  #Gay #lgbtq #lgbtqtwitter #bluewave URL URL,0
 Just another BLM brat blocking a highway  ANTIFA thug swinging a bike lock  Here comes just another screamer from the gallery - except this childish scoundrel screamed he RAPED me!   sat down in the middle of the room  stuck her thumb in her mouth  and whined  prove me wrong!  ,1
 Gotta give him credit where its due he may not be a mason but he is out there competing his ass off,1
 Get that boy a pie! Stat!,0
 Stop Collins  There is someone who will support woman  Dr Cat London  She is opposing Collins and we can end the BS  All she needs to do is clean out her desk and go home ,0
 She s an absolute queen  thank you for being the strong and emotionally passionate woman you are!,0
 Dont care  Let them (NFL) die on the field kneeling,1
 He is revolting ,0
 GOOD!,0
 God bless my uncle has cancer too but she is in a better place now,0
 The touch makes him stiffen  hips pressing into that touch    I m not a fair maiden to win and carry home  Barnes  I /bite/   And yet  he is merely holding on  no longer unaccustomed to such man handling    ,0
 He is an incredible leader and a true hero  Thank you Chef  ,0
 all out war  with is hilariously insubstantial ,0
 Bono   get out of town,0
 NEITHER DOES ANTIFA OR BLACK LIVES MATTER OR ANY OTHER SOROS FUNDED GROUPS,1
 Antifa = Democrats = Dixiecrats = KKK URL URL,0
 she is and tea is she used to be in the program oop,0
 u never talk to me shut up[,1
 I still can t read an analog clock like I can but it takes me like a fucking minute to process it and I can t just glance at one like a digital click,1
 Oh no! Hope you are okay ,0
 Agreed  Bring your dollar bills!,0
 I fucking loved that cat I am so sad,0
 yea shit sucks thats why i stopped watching anime mostly,1
 Whoever put this together thank you !!!! I loved watching and the little circle on 18 made it so much better  You are really awesome Jude Thaddeus Wolfe! So fun to watch  Proud of you Boochi!,0
5/5: The time is right for this House to respond to the concerns of all Canadians  Four out of five Canadians support stronger gun control and with good reason  #guncontrol #cdnpoli #cdnhist ,0
 #Liberals are muck rakers  They have NO platform to run on  NONE! Culling vulnerable people from the late decades    of the last century    of the previous millennium    shows how desperate they are to be heard  Now theyre loitering around high schools looking for rumors  Sad!,1
 You go girl! God bless you and all the survivors and for getting young people out there to vote for common sense gun control,0
 I SHITTED/SHAT YTD AND LOST 0 6KG CAN U BELIEVE IT,1
 Yall are the best,0
1) This argument that  boyhood  does not deserve scrutiny only seems to apply to white boys &amp; men of high socioeconomic status  Kavanaugh should be judged for who he is today  influential political voices  mostly conservatives  argue  not what he supposedly did in high school   ,0
 Would have been far cheaper to relocate jobless/homeless to bulgaria where property is super cheap &amp; many speak English  You prefer the expensive brexity way  You re governing  I wouldn t do it that way  Ref was non-binding call for opinion  Disregard it  Was 50/50 near enough ,0
 Consider the source  It s only Bono ,0
 Shid I m right with ya,0
 Oh The Dem candidates do have clearly stated policy proposals  One involves rational gun control  When elected they wont vacillate like Trump  You and are done deceiving America ,1
 Interesting that the GOP and even liberals are placing the burden on the accuser  This isn t a trial but an examination of whether Judge Kavanaugh reaches a high enough standard to shape U S  law for several decades  The burden is on him ,0
 Speed test on computer wired and see what speeds do you have,0
 Kamala Harris speaks to those she disagrees with in a condescending fashion that I find gutter like! I want to snatch her bald headed routinely! She is so full of herself and is very unbecoming! ,0
 found out the name but I forgot ,1
 Bitch shut up    cyberpunk was announced way back in 2012 and just now getting revealed #    get your facts straight,1
 CORRECTION: The Liberals won a false-majority on the backs of a lot of close races emphasis on false  #ElectoralReform,0
 Conservatives *lied*!?! About their virtues? This is my shocked face ,0
 Did this happen when she played her sister? Mom!!!! Serena beat me over my head with the tennis racket again  Now  Now  Mommy will bake you some cookies and tell you how your sister is marginalizing your existence ,1
    and the RINO speaks    again Sassy has been one of the most frequent and vocal critics of Trump policies calling out Trump for his handling of issues ranging from gun control to tariffs Thinks about quitting ~ don t the doorhit you URL #FoxNews,0
 Was Al Gore nominated for Supreme Court judge? You conservatives have some nerve ,1
 You know you re a racist monkey huh? I m sure you know what you are a piece of trash  I never hear these pieces of horse shit speak the truth only their racist lies  Bitch boy it s ABOUT THE RACIST COPS KILLING UNARMED BLACK AND BROWN PEOPLE!! THAT S THE FACT  ASS CLOWN!!,1
 He always shows dedication at what he does no wonder he is the best URL,0
#Westminster #Tories #Brexit #Brexiteers #OutOfTheEU #EU #Brussels #Remoaners #Remainers #Quislings #FBPE #Non-Patriots #Anti-UK #Pro-EU #Traitors #snowflakes #bedwetters #LeftieLuvvieLiberals URL,0
 I am and I m voting absentee for the first time in a midterm!! #MAGA,0
 She is full of it  She will go for it ,0
 Why wasn t we given the chance to change our minds for 43years also if we have another vote and you win can we change our minds again or will all changing of minds be banned when you get your way,0
 #TrumpDerangementSyndrome Case number 3837252 Wow #liberals got it bad about the same as the #msm,0
 David Dennison might know where he is ,0
 Looks Like The Jokes On Liberals Again  #FortTrump #Poland #BoomingEconomy URL,0
 and he took away the constitution from us  congress refuses to restore it to us why is that? Article 4 sec 4 was taken away   and because of that there are NO gun control laws anymore  OBAMA is a STUPID MAN,1
 He is cute,0
 As we now know there were scandals  They were covered up very well  That s coming to end  Slowly but surely ,0
 Melting snow flakes,0
 BOYCOTT THE ANTI AMERICAN NFL  Football ain t all that anyway ,0
(you are probably wondering why we was frontin about them  I forgot to add that my father told us that their grandparents were coming over to check on us  AND they never did for the whole day but they decided to do it now  So we forgot) We ran as fast as we could to the house URL,0
 Gun control at its finest  If that cop had a gun he wouldnt have been vulnerable to this thug attack ,0
 Yes If only Antifa would leave the poor Nazis alone is a statement for the ages   ,0
#deepstate you are going down! #MAGA #RedWaveRising #redwave #WalkAwayFromDemocrats #WalkAway #WalkAwayMarch make this viral URL,1
 if you ever want a record setting bad election for the liberals in quebec you need to go back to this URL,0
Aint got shit done today,1
 Why didn t Kavanaugh need terms? Guilty people: those are the ones that need terms  Let me clue you in: they re worried that she is going to make a terrible impression and will not be believable  They re trying to manage that concern ,0
 Thanks she is sweet  Very very timid skiddish scared of every sound so this hurricane isn t helping her adjust BUT today she started being playful,0
 Then we ll be talking about gun control! ,0
 Nonsense people want stricter gun control laws   Your response is buy more guns  How is that rational debate?,0
 Well  there s that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart &amp; soul used to be  Altho  now ya mention it  lots of other conservatives  come to mind too  ,1
 You like players based on where they line up on offense? Of course we used him as a returner and receiver der thats what he is    and yes indeed he lined up at RB Im glad that made you a fan of his Im sorry you expect everyone who responds to you to agree,0
 He should be in potters field by now,0
 This is going shake the church to the ground!,0
 You are sick in the head  This man lost his daughter ,1
 You are that mean ass cousin we all hate lol,1
 Boycott the NFL,0
 Any time liberals think their going to get a win they tune into their head cheerleader  Then they realize the latest bombshell is once again nothing and go back to their miserable existence eating chunky monkey (not racist) and watching Netflix,1
 Lol it s funny because it s like gun control    it doesn t work,0
 Another child killed by a gun   How can ANYONE not agree that stricter gun control laws are needed in FL? #NotOneMore #GunControlNow,0
 &gt;comparing Antifa weaklings to WWII soldiers,1
 He is pitiful! Reason economy is soaring is that he is out of office and President Trump is get rid of his pen and phone regulations! His legacy is being shattered and he knows it  His speeches are only about him  Democrats have no message vote Republican in November!,0
 blocked me also  I don t even know who he is,0
 side note: I m always amazed when conservatives say Y know America s X(culture/institution/etc) isn t perfect  but it s better than *the entire rest of the world*  Like  really Tucker? You ve examined every other justice system in the world and determined ours to be the best? ,0
 We all know this is another Liberals Corruption!!,1
#WalkAway #MAGA Trump adviser eyes entitlement cuts to plug U S  budget gaps URL,0
 Agree 100% Jay No wonder FBI back burnered it English appears to be second language high school @ below average use  Also brought attention to being a citizen? Contradicted information throughout high school  &amp;  THE attack  it CAN T be both  Ford=University=Soros=ANTIFA=Bull ,0
 About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws-,0
 If you are prepared to go through the necessary training and background checks then you should be able to carry a concealed firearm ,0
 Be safe you fucker,1
 Notice that ALL of the homeless are white and American  That s not by accident  The state has gone out of its way to displace Americans with by harboring illegal aliens and making taxpayers pay for them  #MAGA,0
22 years old and wandering the streets of New York City the big apple from hell and beyond  and still she is subject to the  n  word and still other models call her  n  person of the year and yet she cares but she is more afraid of  u know who   ,0
 It s easily digestible content  There s no need for nuance or to even understand the story  They can show a picture of an ANTIFA  and get the base level emotional response their content requires in order to be profitable  ,0
 is gross,1
 yesterday this happen here So much for gun control when you can t prevent a 2nd grader from bringing a gun to school huh URL,1
 He is useless  I hope he has plenty paper towels  Why can t he act like a grown up???,1
 Well she s half right    she is shit,1
 He should not have a job after this  But I guess he is the lap dog of some bigwig in broadcasting ,1
 Both of them     ,0
 That s because there are very few conservatives in Congress  They only run as conservatives  They govern as liberals ,0
 My bias park JIMIN he is perfect man #JIMIN #BTS #MAIN DANCER AND READ VOCAL HEART YOU URL,0
 Another Dem-run sanctuary city  with strict gun control laws       the ultimate fail  ,0
 Get used to it      thats what he says ,0
    unless you are good with an accused rapist sitting on the highest bench in the land  I m sure your female constituents would love to hear you explain that away   ,1
 what happened to your kids ? how are they still alive? you are a backstabber and a fraud,1
 I was just going through my TL and I saw this  There are no words she is such a sweetheart this is so horribly sad  May her family find the strength ,0
 He is the biggest LSU hater Ive ever heard ,0
 Yes mothers now this is what the deranged left will make you do to your little boys! Are we really going to let this happen? Pure EVIL! #VoteDemsOut #MAGA #2020 #ConfirmJudgeKavanaugh URL,1
 Except those whole emails the prove what yer sayin is wrong  Hannity is paid 30 million a year to blame immigrants so you idiots happily pull the feeder bar for the guy gonna take away yer healthcare  Gotta say the stupidity is entertaining  #maga,1
 It s SOP for conservatives defend every Republican fully no matter the seriousness of the charge or evidence  Demand every Democrat resign no matter what ,0
 Hatred of the man makes people like this fool say things like this  Not reality ,1
#roeselare #conservatives this is just wrong  What is wrong with the left  URL,0
 Hmm! Maybe we now know why they see such a need for gun control - restraint of _their own_ overly violent tendencies  ,0
1st thing Liberals and Conservatives want to pass is the TPP trade deal URL via #cdnpoli #tpp #nafta,0
 Or we could have gun control,0
 I was more sad about how many liberals seem to love firing shots at allies  I saw it in 2016 with Bernie Sanders supporters calling me an Uncle Tom for supporting Hillary  I made the same argument then and now  No shade and hopefully you don t block me  I respect your opinion,1
 I wasn t aware there was big money in sensible gun control ,0
 #MAGA Let that set in        URL,0
 Trump proposes racial profiling as a tactic  to start thinking about  URL,0
 Hes lying,0
 Mitch   thats not true   a big thing would be to remove all you GOP NRA shills from office and elect people who understand what America wants    the majority of Americans wants sensible gun control ,0
 yes he is the man 18N18,0
 He lets her ramble on for a bit  smiling and admitting to himself that this is why he likes having Kate around  She is definitely a younger version of himself  Pretty sure they done did the do   ,0
 Blocked,0
 Am I a professional? No so your statement is irrelevant  Its not like hardy has done basically identical falls a million times or anything  You clearly know nothing about this  50 bucks says he is perfectly fine  Orton wouldnt have said what he said if he was hurt ,0
 She is your sister????,0
 Job description: In Charge of the Big Door  Because that s the most likely point of entry for the ANTIFA hackers and their DOXX equipment (which is quite cumbersome) ,0
 lol fuck you,1
 I forgot he is their foster child!,0
 Did the view just exposed crooked Hillary through Omarosa? ,0
 What does she think she has done to Kavanaugh family? You cant throw crap out there and not back it up  Nothing but a stall tactic  Liberals would fight anyone being appointed,0
 This fluffy bastard  URL,1
 Nobody wants to take your guns  we just want gun control of what guns we will allow you to have   ,1
 Theres actually republican cities that have higher crime rate than Chicago URL,0
 I love the way Leona Alleslev has seen through the Liberals  She has undoubtedly seen the destruction of our choice of service to our country  Trudeau s father started its destruction in the 60 s and it hasn t changed Juniors goal of destruction either  Thank you for joining us ,0
 Liberals are claustrophobic? ,1
 Andy  Like ur reflex use of cliches n slogans  U must practice a lot  Have u thort of writing for a greeting card company?,0
 Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL,0
 Trudeau and Liberals are incompetent to handle it ,1
 Red roses swarm  Conservatives pounce  We need our own verb ,1
 Good one  But he is entirely responsible for the fallout that will undermine the USA for years to come  ,0
 Just noticed that twitter will block anything about a certain billionaire who buys people to accuse conservatives of wrong doing ,0
 Feinstein wanted to delay until after the midterms  Hopefully the RED wave will wash her into the Atlantic  #MAGA,1
 FOLLOW THE MONEY MONEY MONEY ,0
 You should investigate Antifa s connections to the Nazis ,0
 I cant believe he didnt work in comet pizza  Now that Alex Jones is muted these conservatives are so lost ,1
 Its amazing that when things pertain to conservatives its guilty until proven innocent  Where is the Justice when lawless acts perpetrated by the left get ignored?,0
 Not surprising  That I*n C*nnor nigga was on the payroll,1
 It s amazing how low you liberals will go to suit your political agenda  Don t believe you one bit  Have a good feeling you will pay the price for this   Produce some evidence,1
 I love both of u but more jennifer as she is my first crush and love,0
 And we have the right #Nottowatch,0
#KavanaughConfirmationHearings Crazy Dick Durbin using the confirmation hearings to try and push gun control  He is using this hearing to make speeches and push an agenda  The whole thing has been a circus of Democrats pushing an agenda while vowing to vote no on confirmation ,1
#TwitterShouldBe a less mean environment and less biased towards conservatives ,0
 He needs euthanasia,0
 We didnt lie! He is a fan tho!,0
 simply cannot accept failure  Former President Harry Truman he is not  Trump will always look to blame others ,0
 I love you bitchhh I aint never gonna stop loving you     bitchhhhhh,1
Baaaaa baaaaa   that s the American sheeple who prove Roger Goodell right: The #NFL CAN do whatever it wants and you ll take it because you ll NEVER give up the NFL  Baaaaa baaaaa  URL #QAnon #MAGA #WWG1WGA #FreeAlexJones,1
President Trump s economy is the rising tide that is lifting all boats  This is especially true for Hispanics who were among the biggest victims of the low-growth  high-regulation economy under Obama  Hispanics flourishing in Trump economy URL #VoteRed #MAGA ,0
 Who ever supported this guy? You know they can never be trusted ,0
 Love watching replays of election night 2016  And watch the media completely m let down ,0
 hope you are enjoying strictly training !! URL,0
 God is so good!,0
 Unless he is resigning!,0
 I think the last thing on the WH or Trump s mind is April Ryan  She needs to stop flattering herself  She s not as important as she thinks she is ,0
 Obama wanted liberals &amp; illegals to move into red states,0
 If you love our cops so much  why do you make it your life s goal to take away tools they need to stop crime  and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards ? ,1
 Glad to hear it Jacob! When? ,0
 is really THAT bitch wow,1
 Notice how everyone avoids this tweet They might think you are referring to them  But not me comrade  I stalk everyone  ,0
 Rabid nationalists who ve been misled into thinking it s the liberals who are globalists ,0
